,elev,long,lat,temp,dstl,mass
462,1677,-104.3,44.3,-31.1,99,649.7808271
463,1677,-104.3,44.3,-31.1,97.9,628.3612345
465,1677,-104.3,44.3,-31.1,101,689.9624095
466,1677,-104.3,44.3,-31.1,101.4,698.1924912
467,1677,-104.3,44.3,-31.1,108.8,862.4779383
468,1677,-104.3,44.3,-31.1,110.5,903.5415795
469,1677,-104.3,44.3,-31.1,91.3,509.6518927
470,1677,-104.3,44.3,-31.1,103.5,742.4758944
471,1677,-104.3,44.3,-31.1,101.6,702.3319616
474,1677,-104.3,44.3,-31.1,101.3,696.1288694
475,1677,-104.3,44.3,-31.1,90.1,489.8190614
476,1677,-104.3,44.3,-31.1,96.6,603.6604013
477,1677,-104.3,44.3,-31.1,98.2,634.1555128
482,1677,-104.3,44.3,-31.1,98.6,641.9364758
488,1677,-104.3,44.3,-31.1,98.1,632.2201463
489,1677,-104.3,44.3,-31.1,97.9,628.3612345
490,1677,-104.3,44.3,-31.1,98.5,639.9853024
491,1677,-104.3,44.3,-31.1,95.9,590.6322139
492,1677,-104.3,44.3,-31.1,112.2,945.8883566
493,1677,-104.3,44.3,-31.1,94.9,572.3477055
494,1677,-104.3,44.3,-31.1,97.9,628.3612345
495,1677,-104.3,44.3,-31.1,97.9,628.3612345
496,1677,-104.3,44.3,-31.1,103.7,746.7884252
498,1677,-104.3,44.3,-31.1,95.4,581.4420448
499,1677,-104.3,44.3,-31.1,93,538.654329
500,1677,-104.3,44.3,-31.1,94.8,570.540293
501,1677,-104.3,44.3,-31.1,101.5,700.2601872
502,1677,-104.3,44.3,-31.1,90.1,489.8190614
503,1677,-104.3,44.3,-31.1,101.1,692.0138326
504,1677,-104.3,44.3,-31.1,98.5,639.9853024
505,1677,-104.3,44.3,-31.1,107.1,822.6776926
506,1677,-104.3,44.3,-31.1,95.5,583.2723961
507,1677,-104.3,44.3,-31.1,98.6,641.9364758
528,371,-92.4,45.4,-30.1,100.1,671.6817389
529,371,-92.4,45.4,-30.1,107.9,841.2510957
530,371,-92.4,45.4,-30.1,109.5,879.2323651
531,371,-92.4,45.4,-30.1,109.6,881.6434214
532,371,-92.4,45.4,-30.1,106.9,818.0774552
533,371,-92.4,45.4,-30.1,104.4,762.0137445
534,371,-92.4,45.4,-30.1,95.6,585.1065847
535,371,-92.4,45.4,-30.1,98.5,639.9853024
536,371,-92.4,45.4,-30.1,94.3,561.5602866
537,371,-92.4,45.4,-30.1,91.5,513.0085355
539,371,-92.4,45.4,-30.1,97.4,618.7827232
540,371,-92.4,45.4,-30.1,103.3,738.1799983
541,371,-92.4,45.4,-30.1,91.2,507.979076
542,382,-95.6,42.6,-28.9,107.1,822.6776926
543,382,-95.6,42.6,-28.9,99.9,667.6637133
544,382,-95.6,42.6,-28.9,99.9,667.6637133
545,382,-95.6,42.6,-28.9,99.9,667.6637133
546,382,-95.6,42.6,-28.9,95.4,581.4420448
547,382,-95.6,42.6,-28.9,95.4,581.4420448
548,382,-95.6,42.6,-28.9,99.4,657.688824
549,382,-95.6,42.6,-28.9,99.4,657.688824
550,382,-95.6,42.6,-28.9,103.3,738.1799983
551,382,-95.6,42.6,-28.9,103.3,738.1799983
552,382,-95.6,42.6,-28.9,105.9,795.3333416
553,382,-95.6,42.6,-28.9,103.6,744.6300784
554,382,-95.6,42.6,-28.9,103.6,744.6300784
555,382,-95.6,42.6,-28.9,95.2,577.7928376
556,382,-95.6,42.6,-28.9,99.9,667.6637133
557,382,-95.6,42.6,-28.9,107.1,822.6776926
558,382,-95.6,42.6,-28.9,94.9,572.3477055
559,382,-95.6,42.6,-28.9,94.9,572.3477055
560,382,-95.6,42.6,-28.9,102.5,721.1621171
561,382,-95.6,42.6,-28.9,102.5,721.1621171
562,382,-95.6,42.6,-28.9,102.3,716.9489119
563,382,-95.6,42.6,-28.9,102.3,716.9489119
564,382,-95.6,42.6,-28.9,102.2,714.848477
565,382,-95.6,42.6,-28.9,102.2,714.848477
566,382,-95.6,42.6,-28.9,105.5,786.3550636
567,382,-95.6,42.6,-28.9,105.5,786.3550636
568,382,-95.6,42.6,-28.9,106.2,802.1117145
569,382,-95.6,42.6,-28.9,101.2,694.0693178
570,424,-95.1,47.1,-29.1,96.3,598.0536843
571,424,-95.1,47.1,-29.1,97.9,628.3612345
572,424,-95.1,47.1,-29.1,95.7,586.9446145
573,424,-95.1,47.1,-29.1,101.5,700.2601872
574,424,-95.1,47.1,-29.1,105.1,777.4446099
575,424,-95.1,47.1,-29.1,100.4,677.7389527
576,424,-95.1,47.1,-29.1,101.7,704.4078183
577,424,-95.1,47.1,-29.1,100.8,685.8717339
578,424,-95.1,47.1,-29.1,102.2,714.848477
579,424,-95.1,47.1,-29.1,100.9,687.9150446
580,424,-95.1,47.1,-29.1,95.8,588.7864896
581,424,-95.1,47.1,-29.1,102.4,719.0534572
582,424,-95.1,47.1,-29.1,89.9,486.5644604
583,424,-95.1,47.1,-29.1,103,731.7672737
584,424,-95.1,47.1,-29.1,111.2,920.8219656
585,424,-95.1,47.1,-29.1,100.6,681.7972591
586,327,-97.3,46.5,-32.2,106.6,811.2093037
587,327,-97.3,46.5,-32.2,103.5,742.4758944
